"ID","Контур","Method","Route/trigger","Handler","Authority/input","Storage/write","Подтверждённый риск","Обязательная проверка"
"FILE-020","Basket edited image","POST","/{locale}/cart/updateimg","BasketController::updateimg","session + arbitrary base64","public/uploads + basket/abandoned cart","non-strict base64; no decoded MIME/pixel/size cap; file written even if basket reference is rejected","invalid base64; decompression bomb; >limit; rejected-reference orphan"
"FILE-021","Collage/modular images","POST","basket add flows","BasketRepository + ImageSaverService","multipart/base64/raw collage SVG","storage/app/public/user_images","no central validation; raw SVG stored; base64 always named PNG; filename uses timestamp/original name","SVG script/external refs; MIME decode; collision; count/size budget"
"FILE-022","Lead/photo forms","POST","send_photo_* and all_styles_form","UserManageController + UserFormHelper","anonymous form files","public/uploads + mail/order input","several paths have MIME without max or direct move; public file retention; timestamp collisions","all fields; per-file/aggregate limit; collision; cleanup; spam"
"FILE-023","Checkout photo","CALL","Orders::saveOrder photo branch","Orders::saveOrder","checkout photo","public/uploads + orders.order_image","image/MIME validation but no max; upload precedes later order side effects","oversize; EXIF/decode; order failure after upload; cleanup"
"FILE-024","Admin order item files","POST","/admin/create_admin_order and update","Admin\\OrdersController","web request; basket_images_*","public/orders + order JSON","route lacks detected auth; no MIME/size validation; client extension retained","anonymous/roles; polyglot; multi-file partial; collision"
"FILE-025","Order file finalization","CALL","Orders::renameUploadsPhoto(orderId)","Orders::renameUploadsPhoto","paths from order JSON/legacy columns","move/copy/delete files + update 3 tables/order JSON","destructive file operations happen before final DB save and without transaction/journal; partial failure cannot roll back","fail after each move/copy/delete/row update; replay; collision; missing source"
"FILE-026","Legacy rename helper","CALL","Orders::renameAndRemoveImage","Orders::renameAndRemoveImage","path from basket","copy/delete public file","separate naming/rename semantics; source removed after copy without DB transaction","copy failure; target exists; replay; path variants"
"FILE-027","Order invoice generation","CALL","getPDFFromOrder","DynamicPDFController","order/user/VR data","public/storage/pdf/{orders.id}.pdf overwrite","guessable public invoice with PII; overwrite-in-place; no temp+atomic rename/hash/version","anonymous guessing; concurrent generation; truncated write; retention"
"FILE-028","Invoice HTML builder","CALL","getOrderDataInHtml","DynamicPDFController","order/customer/admin strings","may create user/update orders then render HTML","PDF rendering has DB side effects; unescaped fields; global translation/data dependencies","missing user; HTML injection; remote/local resource; language matrix"
"FILE-029","Invoice approval","GET","/{locale}/user/{user_id}/approve_checkout/{order_id}","OrdersController::approve_user_checkout","authenticated admin/manager; URL user_id/order_id","order flags + PDF + mail","role checked but URL user is not bound to order; GET changes state/sends mail; repeat side effects","mismatched user/order; replay; PDF failure after DB update"
"FILE-030","Invoice regeneration","GET","/{locale}/generate_checkout/{order_id}","OrdersController::generate_checkout","authenticated admin/manager","order flag + PDF overwrite","GET side effect; DB has_pdf set before PDF succeeds; no artifact receipt","PDF exception/disk full; concurrency; replay"
"FILE-031","Invoice locale setting","POST","/admin/user/change-pdf-locale","Admin\\OrdersController::changePdfLocale","web request; user_id/arbitrary max-10 string","users.pdf_locale","route outside admin.user; no role; no locale allowlist; user-wide not order snapshot","anonymous/roles; unsupported locale; concurrent editor; all seven locales"
"FILE-032","Gift-card public route","ANY","/{locale}/giftcard/pdf/{price}/{locale}","GiftcardController::generateGiftCardPDF","two route parameters","attempted public PDF write","route supplies 2 values but method requires 3; ANY exposes write intent; static reflection required=3","HTTP contract; remove/secure preview route; negative methods"
"FILE-033","Gift-card payment side effect","CALL","manual paid transition","GiftcardController::generateGiftCardPDF","user/order/coupon/price/locale/code","public/storage/pdf-gift-card/{order}_{user}_{coupon}.pdf","public guessable IDs; overwrite; directory existence not ensured; PDF/mail/coupon non-atomic","duplicate paid; disk full; locale/code escaping; access control"
"FILE-034","SA inbound attachments","POST","/api/sa/webhooks/messages","SaIntegrationController::processMessageAttachments","X-Api-Key payload URL","storage/app/public/sa/attachments + DB/chat URL","arbitrary URL download follows redirects, disables TLS verification, reads whole body before size check; public attachment URL","SSRF/private IP/DNS rebinding/redirect; TLS; streamed size; owner-only download"
"FILE-035","Image derivative generation","ANY","/admin/image_gen_by_order_id/{id} and localized /image_gen_all","Admin\\ImageGenController","web request; order/overwrite","writes -small beside originals/image rows","no auth in controller; GET/ANY file writes; path built from DB URL; partial processing via echo","anonymous/roles; path containment; overwrite; corrupt/huge image"
"FILE-036","Review audio base64","POST","review submission","Pages\\ReviewController","anonymous audioData base64","public review/audio .webm + DB metadata","no strict decode/MIME/size/duration validation; direct public file","invalid/oversize/polyglot; rate; cleanup on DB failure"
"FILE-037","Order delete","POST","/{locale}/orders/delete","OrdersController::deleteOrder","web request; order id","orders/vr_numbers deleted; bonus mutation","no auth/role; file/PDF/image rows not cleaned; explains orphan potential","anonymous/roles; FK/orphan diff; restore; retention policy"
"FILE-038","Legacy order-image delete","POST","/admin/delete_order_image","VoyagerAdminController::delete_order_image","authenticated user; order_id/img_url","remote HEAD + unlink attempt + order JSON","uses URL as filesystem path, contains dd(), malformed item update; no admin permission","safe fixture; SSRF URL; no dd; correct local path; rollback"
"FILE-039","Route baseline","CLI","artisan route:list","Laravel RouteListCommand","registered routes/controllers","none","fails because App\\Http\\Controllers\\ImageController is missing; middleware snapshot cannot be generated normally","restore/retire handler; cached+uncached route manifest"
"FILE-040","Local corpus","SELECT/read-only","local DB/filesystem snapshot 2026-07-13","audit queries","local snapshot only","14,423 orders; 7,199 painter-image rows; 28 orphan rows; only sparse local binaries","production metadata-only inventory; hashes/counts/extensions/orphans without PII"
