"ID","Area","Entry point","Current auth","Required actor/owner","Input authority","Write/side effect","Current control","Gap","Target contract","Required tests","Risk"
"AA-034","Read receipt","POST new/admin_to_client_message_read","auth","authorized staff","chatId","admin_is_read update in order_user_comments","none beyond auth","client can mark arbitrary manager read state","Policy-scoped read receipt","client denial, foreign order, replay","R-57"
"AA-035","Read receipt","POST new/admin_message_read","auth","authorized staff","chatId","admin_is_read update in orders_chats","none beyond auth","client can mark arbitrary painter-admin state","Policy-scoped read receipt","client denial, wrong stream, missing ID","R-57"
"AA-036","Attachments","SendClientPainterImageService","caller-dependent","conversation participant","order_id/files","storage and order.client_images","partial MIME/size","called before ownership; file/row partial outcomes","authorize first, private storage, attachment receipt","foreign order, MIME spoof, storage failure","R-57"
"AA-037","Image thread","order_painter_image_id + flags","auth","participant with same order/image visibility","three request fields","thread association/status","ID stored as supplied","cross-order image association possible","load image through order policy and immutable relation","foreign image, flag mismatch, deleted image","R-57"
"AA-038","Message content","all legacy chat POST","varies","authorized stream participant","text/HTML/Unicode","DB/email/webhook","Blade escapes on reload","no required/max/content normalization","FormRequest max, Unicode, plain-text canonical body","empty, huge, HTML, control chars, seven locales","R-63"
"AA-039","Frontend","AJAX success .append templates","page auth","current viewer","response/user text","DOM insertion","none","unescaped template literal permits DOM HTML injection","textContent/escaped DOM construction","script/img/event-handler payloads","R-63"
"AA-040","Email","legacy Mail::setBody text/html","message sender","recipient defined by order","user text","HTML email","none","unescaped user content may inject markup/phishing","escaped template or plain-text body","HTML/link/style payload and locale","R-63"
"AA-041","Synvolve","notifyManagerMessageForOrder","authorized manager flow only","order phone/text/context","external webhook and logs","timeout/TLS config, catches errors","controller ignores outcome; logs full phone/text/payload/body; no message id","outbox, deterministic ID, redaction, receipt/reconcile","timeout, 5xx, duplicate, log redaction","R-62"
"AA-042","Mapping","order_user_comments","conversation participants + SA mirror","order_id/user_id/is_admin/SA IDs","client-visible history","existing source of truth","multiple actor meanings and legacy rows","adapter mapping; preserve source row and ambiguity","fixture all sender/direction/read combinations","R-61"
"AA-043","Mapping","orders_chats","painter/admin","orders_id/is_admin/image flags","painter-admin history","separate table","new inserts lack author user ID; SA columns can confuse ownership","separate stream; immutable sender; no destructive merge","legacy null sender and SA-field fixtures","R-61"
"AA-044","Mapping","order_admin_comments","internal staff","orders_id/user_id","internal notes","author ID on newer rows","no role policy; nullable/legacy author possible","internal stream adapter with unknown legacy author","null/deleted author and permission fixtures","R-61"
"AA-045","Mapping","order_painter_comments","assigned painter","order_id/comment","legacy painter notes","timestamps only","sender/read/direction absent","preserve as legacy_painter_note; do not infer author","ambiguous row fixture and rollback","R-61"
"AA-046","Mapping","sa_messages/sa_conversations","integration contract","external stable IDs","native integration history","dedupe/idempotency tables","must not be merged by text/time with four legacy streams","link by SA IDs; mirror only approved client stream","replay/backfill/late-order fixtures","R-61"
"AA-047","Idempotency","legacy chat writes","authorized participant","no client message ID","DB row + mail/webhook","none","double click/retry duplicates all side effects","unique client message key + transactional outbox","double submit, concurrency, crash points","R-62"
"AA-048","Schema","chat migrations","deployment owner","migration files/production DDL","fresh install/cutover","some alter migrations","base create migrations missing for three legacy tables","capture SHOW CREATE; additive canonical migrations; reconcile","fresh migrate and production-schema diff","R-61"
"AA-049","Bulk mutation","GET new/set_all_painter_images","auth","CLI/admin maintenance only","none","mutates all order_painter_images","auth only","state-changing GET, all users, no lock/dry-run, dd","CLI/job, permission, dry-run, checkpoint, lock","client denial, rerun, interruption, rollback","R-64"
"AA-050","Consent","GET user/{id}/unsubscribe","web public","signed recipient or self","numeric user ID","users.news=NO","none","arbitrary ID, GET mutation, no signature/ownership","signed opaque token or authenticated POST","tampered/expired token and other user","R-64"
"AA-051","Account lifecycle","disabled/deleted/role-changed user","session guard","active current identity","session/remember token","continued access","basic auth session","no explicit active gate or AuthenticateSession baseline","central active-user middleware and session revocation","disable/delete/role/password change with existing session","R-65"
"AA-052","Runtime gate","DB/provider/staging audit","QA/security owners","production-like metadata","none","evidence only","route registry, static code and local read-only aggregates","production HTTP/provider/access-log evidence remains unavailable; live calls prohibited","isolated staging, blocked outbound, production-like aggregates and HTTP matrix","all cases above with zero unintended side effects","R-65"
"AA-053","Identity data","users local snapshot","read-only audit","migration/security owner","23 801 rows","none","unique email; all bcrypt 2y","0 verified emails; 1 340 remember tokens; no provider identity model","preserve IDs/hashes; rehash on login; define verification/linking","production-like hash/email/role reconciliation","R-59"
"AA-054","Chat data","four legacy stream snapshot","read-only audit","data owner","3 835/2 840/106/25 rows","none","exact counts and flag aggregates","orphan rows, missing authors and ambiguous actors","classify, retain source IDs, reconcile without deletion","count/hash/orphan/author mapping before and after cutover","R-61"
"AA-055","Chat schema","legacy indexes and foreign keys","read-only audit","DB owner","production DDL","none","primary keys; two SA indexes on orders_chats","no foreign keys and no order index on legacy streams","additive indexes only after query/lock rehearsal; explicit retention","EXPLAIN, online DDL, rollback and orphan fixtures","R-61"
"AA-056","Retention","password_resets and sessions","read-only audit","security/operations owner","172 resets; 341 sessions","cleanup/revocation","all snapshot rows older than 24h","stale rows retained; active-user/session policy undefined","scheduled retention, revocation and observability","expiry cleanup, concurrent login and rollback","R-65"
