id,legacy_methods,legacy_uri,legacy_handler,operation,risk,legacy_static_acl,legacy_role_check,target_surface,proposed_target_class,module,wave,authorization_contract,http_contract,idempotency_contract,audit_contract,required_tests,cutover_contract,disposition
FIL-ROUTE-015,GET,admin/printing/{printing_id}/remove/{order_id},Admin\\VoyagerAdminController@remove_order_printing,delete printing assignment,High,controller auth,none,Order Resource Page/Action,App\Filament\Clusters\Crm\Resources\OrderResource,Заказы и CRM,1-orders-crm,canAccessPanel + scoped query/record Policy + explicit Action authorization; visibility is not authorization; preserve intended legacy roles only,POST/PATCH/DELETE + CSRF; never GET/ANY mutation,Required: unique operation key/receipt and safe duplicate result,"actor, role, target IDs, request/operation ID, before/after or receipt, outcome; redact secrets/PII",GET no mutation; wrong-role deny; wrong-role; direct URL; Livewire action; duplicate/failure where mutating,Legacy remains writer until target PASS; switch route/action owner by feature flag; reconcile resulting data/side effects,migrate
FIL-ROUTE-016,POST,admin/update_order_chat_ajax,Admin\\VoyagerAdminController@update_order_chat_ajax,send painter message/mail,Critical,controller auth,none,Order Chat RelationManager Action,App\Filament\Clusters\Crm\Resources\OrderResource\RelationManagers\ChatRelationManager,Чаты,3-chats,canAccessPanel + scoped query/record Policy + explicit Action authorization; visibility is not authorization; preserve intended legacy roles only,POST/PATCH/DELETE + CSRF; never GET/ANY mutation,Required: unique operation key/receipt and safe duplicate result,"actor, role, target IDs, request/operation ID, before/after or receipt, outcome; redact secrets/PII","wrong-role, ownership, duplicate and mail side effect; wrong-role; direct URL; Livewire action; duplicate/failure where mutating",Legacy remains writer until target PASS; switch route/action owner by feature flag; reconcile resulting data/side effects,migrate
FIL-ROUTE-017,POST,admin/update_admin_chat_ajax,Admin\\VoyagerAdminController@update_admin_chat_ajax,write admin chat,High,controller auth,none,Order Chat RelationManager Action,App\Filament\Clusters\Crm\Resources\OrderResource\RelationManagers\ChatRelationManager,Чаты,3-chats,canAccessPanel + scoped query/record Policy + explicit Action authorization; visibility is not authorization; preserve intended legacy roles only,POST/PATCH/DELETE + CSRF; never GET/ANY mutation,Required: unique operation key/receipt and safe duplicate result,"actor, role, target IDs, request/operation ID, before/after or receipt, outcome; redact secrets/PII","wrong-role, ownership and duplicate; wrong-role; direct URL; Livewire action; duplicate/failure where mutating",Legacy remains writer until target PASS; switch route/action owner by feature flag; reconcile resulting data/side effects,migrate
FIL-ROUTE-018,POST,admin/send_courier,Admin\\Api\\VinepakApiController@send_courier,external courier request,Critical,no static auth,none,Order Resource Action,App\Filament\Clusters\Crm\Resources\OrderResource\Actions\VenipakAction,Платежи и доставка,6-payments-delivery,canAccessPanel + scoped query/record Policy + explicit Action authorization; visibility is not authorization; preserve intended legacy roles only,POST/PATCH/DELETE + CSRF; never GET/ANY mutation,Required: unique operation key/receipt and safe duplicate result,"actor, role, target IDs, request/operation ID, before/after or receipt, outcome; redact secrets/PII",anonymous/wrong-role deny; provider fake and duplicate; wrong-role; direct URL; Livewire action; duplicate/failure where mutating,Legacy remains writer until target PASS; switch route/action owner by feature flag; reconcile resulting data/side effects,migrate_after_controlled_provider_smoke
FIL-ROUTE-019,POST,admin/create_label,Admin\\Api\\VinepakApiController@create_label,external label creation,Critical,no static auth,none,Order Resource Action,App\Filament\Clusters\Crm\Resources\OrderResource\Actions\VenipakAction,Платежи и доставка,6-payments-delivery,canAccessPanel + scoped query/record Policy + explicit Action authorization; visibility is not authorization; preserve intended legacy roles only,POST/PATCH/DELETE + CSRF; never GET/ANY mutation,Required: unique operation key/receipt and safe duplicate result,"actor, role, target IDs, request/operation ID, before/after or receipt, outcome; redact secrets/PII",anonymous/wrong-role deny; duplicate/retry/receipt; wrong-role; direct URL; Livewire action; duplicate/failure where mutating,Legacy remains writer until target PASS; switch route/action owner by feature flag; reconcile resulting data/side effects,migrate_after_controlled_provider_smoke
FIL-ROUTE-020,POST,admin/print_label,Admin\\Api\\VinepakApiController@print_label,external label fetch/print,Critical,no static auth,none,Order Resource Action,App\Filament\Clusters\Crm\Resources\OrderResource\Actions\VenipakAction,Платежи и доставка,6-payments-delivery,canAccessPanel + scoped query/record Policy + explicit Action authorization; visibility is not authorization; preserve intended legacy roles only,POST/PATCH/DELETE + CSRF; never GET/ANY mutation,Required: unique operation key/receipt and safe duplicate result,"actor, role, target IDs, request/operation ID, before/after or receipt, outcome; redact secrets/PII",anonymous/wrong-role deny; label ownership; wrong-role; direct URL; Livewire action; duplicate/failure where mutating,Legacy remains writer until target PASS; switch route/action owner by feature flag; reconcile resulting data/side effects,migrate_after_controlled_provider_smoke
FIL-ROUTE-021,GET,admin/create_admin_order,Admin\\OrdersController@create,read customer/order creation data,Critical,no static auth,none,Order Resource Page/Action,App\Filament\Clusters\Crm\Resources\OrderResource,Заказы и CRM,1-orders-crm,canAccessPanel + scoped query/record Policy + explicit Action authorization; visibility is not authorization; preserve intended legacy roles only,GET read-only; no hidden mutation/mark-read unless explicit POST receipt,Not required for pure read; still rate-limit sensitive queries,"actor, role, target IDs, request/operation ID, before/after or receipt, outcome; redact secrets/PII",anonymous/wrong-role deny; source-order access; wrong-role; direct URL; Livewire action; duplicate/failure where mutating,Legacy remains writer until target PASS; switch route/action owner by feature flag; reconcile resulting data/side effects,migrate
FIL-ROUTE-022,GET,admin/user_filter,Admin\\OrdersController@user_filter,list customers,Critical,no static auth,none,Scoped User selector service,App\Filament\Clusters\Crm\Resources\OrderResource\Pages\CreateOrder,Заказы и CRM,1-orders-crm,canAccessPanel + scoped query/record Policy + explicit Action authorization; visibility is not authorization; preserve intended legacy roles only,GET read-only; no hidden mutation/mark-read unless explicit POST receipt,Not required for pure read; still rate-limit sensitive queries,"actor, role, target IDs, request/operation ID, before/after or receipt, outcome; redact secrets/PII",anonymous/wrong-role deny; PII exposure; wrong-role; direct URL; Livewire action; duplicate/failure where mutating,Legacy remains writer until target PASS; switch route/action owner by feature flag; reconcile resulting data/side effects,replace_with_scoped_component
FIL-ROUTE-023,POST,admin/create_admin_order,Admin\\OrdersController@create_admin_order,create order and side effects,Critical,no static auth,none,Order Resource Page/Action,App\Filament\Clusters\Crm\Resources\OrderResource,Заказы и CRM,1-orders-crm,canAccessPanel + scoped query/record Policy + explicit Action authorization; visibility is not authorization; preserve intended legacy roles only,POST/PATCH/DELETE + CSRF; never GET/ANY mutation,Required: unique operation key/receipt and safe duplicate result,"actor, role, target IDs, request/operation ID, before/after or receipt, outcome; redact secrets/PII",anonymous/wrong-role deny; idempotency and failure injection; wrong-role; direct URL; Livewire action; duplicate/failure where mutating,Legacy remains writer until target PASS; switch route/action owner by feature flag; reconcile resulting data/side effects,migrate
FIL-ROUTE-024,POST,admin/orders/{id}/update,Admin\\OrdersController@update_admin_order,update order/customer/delivery,Critical,no static auth,none,Order Resource Page/Action,App\Filament\Clusters\Crm\Resources\OrderResource,Заказы и CRM,1-orders-crm,canAccessPanel + scoped query/record Policy + explicit Action authorization; visibility is not authorization; preserve intended legacy roles only,POST/PATCH/DELETE + CSRF; never GET/ANY mutation,Required: unique operation key/receipt and safe duplicate result,"actor, role, target IDs, request/operation ID, before/after or receipt, outcome; redact secrets/PII",anonymous/wrong-role deny; order invariant and concurrency; wrong-role; direct URL; Livewire action; duplicate/failure where mutating,Legacy remains writer until target PASS; switch route/action owner by feature flag; reconcile resulting data/side effects,migrate
FIL-ROUTE-025,POST,admin/orders/{order}/payment-requests,Admin\\OrderPaymentRequestController@store,create payment request,Critical,method auth+role,admin|manager,Order relation Action,App\Filament\Clusters\Crm\Resources\OrderResource\RelationManagers\PaymentRequestsRelationManager,Платежи и доставка,6-payments-delivery,canAccessPanel + scoped query/record Policy + explicit Action authorization; visibility is not authorization; preserve intended legacy roles only,POST/PATCH/DELETE + CSRF; never GET/ANY mutation,Required: unique operation key/receipt and safe duplicate result,"actor, role, target IDs, request/operation ID, before/after or receipt, outcome; redact secrets/PII",negative role tests; duplicate/amount/currency; wrong-role; direct URL; Livewire action; duplicate/failure where mutating,Legacy remains writer until target PASS; switch route/action owner by feature flag; reconcile resulting data/side effects,migrate
FIL-ROUTE-026,GET,admin/orders/{id}/remove_painter_image/{img_id?},OrdersController@remove_painter_image,delete order image metadata,Critical,no static auth,none,Secured File Action/Controller,App\Filament\Clusters\Crm\Actions\OrderFileAction,Заказы и CRM,1-orders-crm,canAccessPanel + scoped query/record Policy + explicit Action authorization; visibility is not authorization; preserve intended legacy roles only,POST/PATCH/DELETE + CSRF; never GET/ANY mutation,Required: unique operation key/receipt and safe duplicate result,"actor, role, target IDs, request/operation ID, before/after or receipt, outcome; redact secrets/PII",anonymous/wrong-role/foreign-order deny; GET no mutation; wrong-role; direct URL; Livewire action; duplicate/failure where mutating,Legacy remains writer until target PASS; switch route/action owner by feature flag; reconcile resulting data/side effects,migrate_with_file_policy
FIL-ROUTE-027,POST,admin/add_painter_images,OrdersController@add_painter_images,upload painter images,Critical,no static auth,none,Secured File Action/Controller,App\Filament\Clusters\Crm\Actions\OrderFileAction,Заказы и CRM,1-orders-crm,canAccessPanel + scoped query/record Policy + explicit Action authorization; visibility is not authorization; preserve intended legacy roles only,POST/PATCH/DELETE + CSRF; never GET/ANY mutation,Required: unique operation key/receipt and safe duplicate result,"actor, role, target IDs, request/operation ID, before/after or receipt, outcome; redact secrets/PII",anonymous/wrong-role deny; MIME/size/order ownership; wrong-role; direct URL; Livewire action; duplicate/failure where mutating,Legacy remains writer until target PASS; switch route/action owner by feature flag; reconcile resulting data/side effects,migrate_with_file_policy
FIL-ROUTE-028,POST,admin/update_order_item_price,Admin\\OrdersController@update_order_item_price,change price and regenerate PDF,Critical,method dereferences Auth user,admin|manager,Order Resource Page/Action,App\Filament\Clusters\Crm\Resources\OrderResource,Заказы и CRM,1-orders-crm,canAccessPanel + scoped query/record Policy + explicit Action authorization; visibility is not authorization; preserve intended legacy roles only,POST/PATCH/DELETE + CSRF; never GET/ANY mutation,Required: unique operation key/receipt and safe duplicate result,"actor, role, target IDs, request/operation ID, before/after or receipt, outcome; redact secrets/PII",anonymous must return 401/403 not 500; role and totals; wrong-role; direct URL; Livewire action; duplicate/failure where mutating,Legacy remains writer until target PASS; switch route/action owner by feature flag; reconcile resulting data/side effects,migrate
FIL-ROUTE-029,POST,admin/add_order_item,OrdersController@add_order_item,change order items/files/price,Critical,no static auth,none,Order Resource Page/Action,App\Filament\Clusters\Crm\Resources\OrderResource,Заказы и CRM,1-orders-crm,canAccessPanel + scoped query/record Policy + explicit Action authorization; visibility is not authorization; preserve intended legacy roles only,POST/PATCH/DELETE + CSRF; never GET/ANY mutation,Required: unique operation key/receipt and safe duplicate result,"actor, role, target IDs, request/operation ID, before/after or receipt, outcome; redact secrets/PII",anonymous/wrong-role deny; totals/idempotency/files; wrong-role; direct URL; Livewire action; duplicate/failure where mutating,Legacy remains writer until target PASS; switch route/action owner by feature flag; reconcile resulting data/side effects,migrate
FIL-ROUTE-030,GET,admin/remove_user_image,OrdersController@remove_user_image,delete client image metadata,Critical,no static auth,none,Secured File Action/Controller,App\Filament\Clusters\Crm\Actions\OrderFileAction,Заказы и CRM,1-orders-crm,canAccessPanel + scoped query/record Policy + explicit Action authorization; visibility is not authorization; preserve intended legacy roles only,POST/PATCH/DELETE + CSRF; never GET/ANY mutation,Required: unique operation key/receipt and safe duplicate result,"actor, role, target IDs, request/operation ID, before/after or receipt, outcome; redact secrets/PII",anonymous/wrong-role/foreign-order deny; GET no mutation; wrong-role; direct URL; Livewire action; duplicate/failure where mutating,Legacy remains writer until target PASS; switch route/action owner by feature flag; reconcile resulting data/side effects,migrate_with_file_policy
FIL-ROUTE-031,GET,admin/user/{id}/set_sale/{sale},Admin\\VoyagerAdminController@give_user_sale,grant discount/send mail,High,controller auth,admin|manager in method,User Resource Action / Marketing Page,App\Filament\Clusters\Access\Resources\UserResource\Actions\PromotionAction,Пользователи и роли,2-users-roles,canAccessPanel + scoped query/record Policy + explicit Action authorization; visibility is not authorization; preserve intended legacy roles only,POST/PATCH/DELETE + CSRF; never GET/ANY mutation,Required: unique operation key/receipt and safe duplicate result,"actor, role, target IDs, request/operation ID, before/after or receipt, outcome; redact secrets/PII",CSRF-safe POST and role matrix; wrong-role; direct URL; Livewire action; duplicate/failure where mutating,Legacy remains writer until target PASS; switch route/action owner by feature flag; reconcile resulting data/side effects,migrate_as_authorized_idempotent_action
FIL-ROUTE-032,GET,admin/user/{id}/cancel_sale/{sale},Admin\\VoyagerAdminController@cancel_user_sale,revoke discount/send mail,High,controller auth,admin|manager in method,User Resource Action / Marketing Page,App\Filament\Clusters\Access\Resources\UserResource\Actions\PromotionAction,Пользователи и роли,2-users-roles,canAccessPanel + scoped query/record Policy + explicit Action authorization; visibility is not authorization; preserve intended legacy roles only,POST/PATCH/DELETE + CSRF; never GET/ANY mutation,Required: unique operation key/receipt and safe duplicate result,"actor, role, target IDs, request/operation ID, before/after or receipt, outcome; redact secrets/PII",CSRF-safe POST and role matrix; wrong-role; direct URL; Livewire action; duplicate/failure where mutating,Legacy remains writer until target PASS; switch route/action owner by feature flag; reconcile resulting data/side effects,migrate_as_authorized_idempotent_action
FIL-ROUTE-033,ANY,admin/user/{id}/set_sale30_40,Admin\\VoyagerAdminController@set_sale30_40,create coupon/send mail,High,controller auth,admin|manager in method,User Resource Action / Marketing Page,App\Filament\Clusters\Access\Resources\UserResource\Actions\PromotionAction,Пользователи и роли,2-users-roles,canAccessPanel + scoped query/record Policy + explicit Action authorization; visibility is not authorization; preserve intended legacy roles only,POST/PATCH/DELETE + CSRF; never GET/ANY mutation,Required: unique operation key/receipt and safe duplicate result,"actor, role, target IDs, request/operation ID, before/after or receipt, outcome; redact secrets/PII",POST only; duplicate coupon/mail and role matrix; wrong-role; direct URL; Livewire action; duplicate/failure where mutating,Legacy remains writer until target PASS; switch route/action owner by feature flag; reconcile resulting data/side effects,migrate_as_authorized_idempotent_action
FIL-ROUTE-034,GET,admin/user/{user_id}/leave_rev/{order_id},OrdersController@leave_rev,send review email,Critical,no static auth,none,Review Resource Action,App\Filament\Clusters\Content\Resources\ReviewResource,Контент,7-content-seo,canAccessPanel + scoped query/record Policy + explicit Action authorization; visibility is not authorization; preserve intended legacy roles only,POST/PATCH/DELETE + CSRF; never GET/ANY mutation,Required: unique operation key/receipt and safe duplicate result,"actor, role, target IDs, request/operation ID, before/after or receipt, outcome; redact secrets/PII",anonymous/wrong-role deny; GET no side effect; duplicate mail; wrong-role; direct URL; Livewire action; duplicate/failure where mutating,Legacy remains writer until target PASS; switch route/action owner by feature flag; reconcile resulting data/side effects,migrate
FIL-ROUTE-035,GET,admin/user/{user_id}/leave_rev,OrdersController@leave_rev_no_orders,send review email,Critical,no static auth,none,Review Resource Action,App\Filament\Clusters\Content\Resources\ReviewResource,Контент,7-content-seo,canAccessPanel + scoped query/record Policy + explicit Action authorization; visibility is not authorization; preserve intended legacy roles only,POST/PATCH/DELETE + CSRF; never GET/ANY mutation,Required: unique operation key/receipt and safe duplicate result,"actor, role, target IDs, request/operation ID, before/after or receipt, outcome; redact secrets/PII",anonymous/wrong-role deny; GET no side effect; duplicate mail; wrong-role; direct URL; Livewire action; duplicate/failure where mutating,Legacy remains writer until target PASS; switch route/action owner by feature flag; reconcile resulting data/side effects,migrate
FIL-ROUTE-036,POST,admin/set_sub_cats,Admin\\OrdersController@set_sub_cats,read gallery subcategories,High,unresolved handler,none,Reactive form query,App\Filament\Clusters\Catalog\Resources\GalleryItemResource,Каталог и цены,4-catalog-pricing,canAccessPanel + scoped query/record Policy + explicit Action authorization; visibility is not authorization; preserve intended legacy roles only,POST/PATCH/DELETE + CSRF; never GET/ANY mutation,Required: unique operation key/receipt and safe duplicate result,"actor, role, target IDs, request/operation ID, before/after or receipt, outcome; redact secrets/PII",resolve intended controller then ACL/validation test; wrong-role; direct URL; Livewire action; duplicate/failure where mutating,Legacy remains writer until target PASS; switch route/action owner by feature flag; reconcile resulting data/side effects,replace_with_form_dependency
FIL-ROUTE-037,POST,admin/upload_audio_rev,Admin\\VoyagerAdminController@upload_audio_rev,upload audio/update translation,High,controller auth,none,Secured File Action/Controller,App\Filament\Clusters\Crm\Actions\OrderFileAction,Заказы и CRM,1-orders-crm,canAccessPanel + scoped query/record Policy + explicit Action authorization; visibility is not authorization; preserve intended legacy roles only,POST/PATCH/DELETE + CSRF; never GET/ANY mutation,Required: unique operation key/receipt and safe duplicate result,"actor, role, target IDs, request/operation ID, before/after or receipt, outcome; redact secrets/PII","wrong-role, MIME/size and locale allowlist; wrong-role; direct URL; Livewire action; duplicate/failure where mutating",Legacy remains writer until target PASS; switch route/action owner by feature flag; reconcile resulting data/side effects,migrate_with_file_policy
FIL-ROUTE-038,GET,admin/cache/clear,Admin\\VoyagerAdminController@cache_clear,clear application cache,High,controller auth,none,Restricted Operations Page + queued command,App\Filament\Pages\Operations,Foundation,0-foundation,canAccessPanel + scoped query/record Policy + explicit Action authorization; visibility is not authorization; preserve intended legacy roles only,POST/PATCH/DELETE + CSRF; never GET/ANY mutation,Required: unique operation key/receipt and safe duplicate result,"actor, role, target IDs, request/operation ID, before/after or receipt, outcome; redact secrets/PII",admin-only POST/action; concurrent production behavior; wrong-role; direct URL; Livewire action; duplicate/failure where mutating,Legacy remains writer until target PASS; switch route/action owner by feature flag; reconcile resulting data/side effects,migrate_without_get_writes
FIL-ROUTE-039,GET,admin/cache/set,Admin\\VoyagerAdminController@cache_set,build config/route cache,Critical,controller auth,none,Restricted Operations Page + queued command,App\Filament\Pages\Operations,Foundation,0-foundation,canAccessPanel + scoped query/record Policy + explicit Action authorization; visibility is not authorization; preserve intended legacy roles only,POST/PATCH/DELETE + CSRF; never GET/ANY mutation,Required: unique operation key/receipt and safe duplicate result,"actor, role, target IDs, request/operation ID, before/after or receipt, outcome; redact secrets/PII",admin-only deploy action; route cache baseline; wrong-role; direct URL; Livewire action; duplicate/failure where mutating,Legacy remains writer until target PASS; switch route/action owner by feature flag; reconcile resulting data/side effects,migrate_without_get_writes
