methods,uri,name,handler,middleware,handler_exists,severity,finding,required_action,acceptance_test
GET,mail/gift_cart,,App\Http\Controllers\MailController@gift_cart,web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified,yes,critical,Public diagnostic/mail-preview endpoint; several actions contain hardcoded IDs/email and can mutate recovery token/coupon state.,Remove from production routes; retain authenticated non-production preview tooling with fixtures only.,Anonymous request is 404 in production; preview works with synthetic fixture in test environment.
GET,mail/abandoned_cart,,App\Http\Controllers\MailController@abandoned_cart,web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified,yes,critical,Public diagnostic/mail-preview endpoint; several actions contain hardcoded IDs/email and can mutate recovery token/coupon state.,Remove from production routes; retain authenticated non-production preview tooling with fixtures only.,Anonymous request is 404 in production; preview works with synthetic fixture in test environment.
GET,mail/abandoned_cart24,,App\Http\Controllers\MailController@abandoned_cart24,web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified,yes,critical,Public diagnostic/mail-preview endpoint; several actions contain hardcoded IDs/email and can mutate recovery token/coupon state.,Remove from production routes; retain authenticated non-production preview tooling with fixtures only.,Anonymous request is 404 in production; preview works with synthetic fixture in test environment.
GET,mail/order,,App\Http\Controllers\MailController@order,web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified,yes,critical,Public diagnostic/mail-preview endpoint; several actions contain hardcoded IDs/email and can mutate recovery token/coupon state.,Remove from production routes; retain authenticated non-production preview tooling with fixtures only.,Anonymous request is 404 in production; preview works with synthetic fixture in test environment.
GET,mail/1,,Closure,web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified,yes,critical,Public diagnostic/mail-preview endpoint; several actions contain hardcoded IDs/email and can mutate recovery token/coupon state.,Remove from production routes; retain authenticated non-production preview tooling with fixtures only.,Anonymous request is 404 in production; preview works with synthetic fixture in test environment.
GET,mail/2,,Closure,web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified,yes,critical,Public diagnostic/mail-preview endpoint; several actions contain hardcoded IDs/email and can mutate recovery token/coupon state.,Remove from production routes; retain authenticated non-production preview tooling with fixtures only.,Anonymous request is 404 in production; preview works with synthetic fixture in test environment.
GET,mail/3,,Closure,web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified,yes,critical,Public diagnostic/mail-preview endpoint; several actions contain hardcoded IDs/email and can mutate recovery token/coupon state.,Remove from production routes; retain authenticated non-production preview tooling with fixtures only.,Anonymous request is 404 in production; preview works with synthetic fixture in test environment.
GET,mail/4,,Closure,web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified,yes,critical,Public diagnostic/mail-preview endpoint; several actions contain hardcoded IDs/email and can mutate recovery token/coupon state.,Remove from production routes; retain authenticated non-production preview tooling with fixtures only.,Anonymous request is 404 in production; preview works with synthetic fixture in test environment.
GET,mail/5,,Closure,web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified,yes,critical,Public diagnostic/mail-preview endpoint; several actions contain hardcoded IDs/email and can mutate recovery token/coupon state.,Remove from production routes; retain authenticated non-production preview tooling with fixtures only.,Anonymous request is 404 in production; preview works with synthetic fixture in test environment.
GET,mail/6,,Closure,web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified,yes,critical,Public diagnostic/mail-preview endpoint; several actions contain hardcoded IDs/email and can mutate recovery token/coupon state.,Remove from production routes; retain authenticated non-production preview tooling with fixtures only.,Anonymous request is 404 in production; preview works with synthetic fixture in test environment.
GET,mail/7,,Closure,web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified,yes,critical,Public diagnostic/mail-preview endpoint; several actions contain hardcoded IDs/email and can mutate recovery token/coupon state.,Remove from production routes; retain authenticated non-production preview tooling with fixtures only.,Anonymous request is 404 in production; preview works with synthetic fixture in test environment.
GET,review,review,App\Http\Controllers\Pages\ReviewController@index,web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified,yes,medium,Review page depends on translated Page/services/FAQ data and static configured aggregate rating.,Preserve locale fallback and moderation semantics; define one rating source of truth.,All seven public locales render; structured-data and fallback parity tests.
POST,review,review.store,App\Http\Controllers\Pages\ReviewController@store,web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified,yes,critical,"Public upload/base64 audio path has no effective validation, size limit or ownership proof; email can bind a review to another user's order.","Use FormRequest, MIME/size/rate limits, verified order token, quarantine and moderation workflow.","Validation, oversized/MIME rejection, spoofed-email isolation, duplicate/rate and moderation tests."
GET,user/send_review,send_rev,App\Http\Controllers\Pages\ReviewController@index,web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified,yes,medium,Review page depends on translated Page/services/FAQ data and static configured aggregate rating.,Preserve locale fallback and moderation semantics; define one rating source of truth.,All seven public locales render; structured-data and fallback parity tests.
GET,google-ads.xml,google.ads,App\Http\Controllers\AdvertisingController@google,web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified,yes,high,Large uncached product feed; shared Blade variables can leak prior sale prices and one route name is duplicated.,"Extract deterministic feed service, reset per-item price state, cache/stream output and preserve endpoint contracts.","XML validity, item count, price/sale-price golden samples, locale multiplier and duplicate-name tests."
GET,kurpirkt.xml,kurpirkt,App\Http\Controllers\AdvertisingController@kurpirkt,web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified,yes,high,Large uncached product feed; shared Blade variables can leak prior sale prices and one route name is duplicated.,"Extract deterministic feed service, reset per-item price state, cache/stream output and preserve endpoint contracts.","XML validity, item count, price/sale-price golden samples, locale multiplier and duplicate-name tests."
GET,salidzini.xml,kurpirkt,App\Http\Controllers\AdvertisingController@salidzini,web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified,yes,high,Large uncached product feed; shared Blade variables can leak prior sale prices and one route name is duplicated.,"Extract deterministic feed service, reset per-item price state, cache/stream output and preserve endpoint contracts.","XML validity, item count, price/sale-price golden samples, locale multiplier and duplicate-name tests."
GET,lv-google-ads.xml,google.ads.lv,App\Http\Controllers\AdvertisingController@google_lv,web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified,yes,high,Large uncached product feed; shared Blade variables can leak prior sale prices and one route name is duplicated.,"Extract deterministic feed service, reset per-item price state, cache/stream output and preserve endpoint contracts.","XML validity, item count, price/sale-price golden samples, locale multiplier and duplicate-name tests."
GET,lt-google-ads.xml,google.ads.lt,App\Http\Controllers\AdvertisingController@google_lt,web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified,yes,high,Large uncached product feed; shared Blade variables can leak prior sale prices and one route name is duplicated.,"Extract deterministic feed service, reset per-item price state, cache/stream output and preserve endpoint contracts.","XML validity, item count, price/sale-price golden samples, locale multiplier and duplicate-name tests."
GET,ee-google-ads.xml,google.ads.ee,App\Http\Controllers\AdvertisingController@google_ee,web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified,yes,high,Large uncached product feed; shared Blade variables can leak prior sale prices and one route name is duplicated.,"Extract deterministic feed service, reset per-item price state, cache/stream output and preserve endpoint contracts.","XML validity, item count, price/sale-price golden samples, locale multiplier and duplicate-name tests."
GET,translate_item,translate_item,App\Http\Controllers\AdvertisingController@translate_item,web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified,yes,critical,Anonymous GET performs bulk translation or SEO writes across catalog records.,"Replace with authenticated queued command, dry-run, audit log, backup and explicit locale scope.",GET is side-effect free/404; command supports dry-run and idempotent rerun.
GET,sitemap_products.xml,sitemap_products,App\Http\Controllers\AdvertisingController@sitemap_products,web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified,yes,high,Dynamic uncached DB-heavy XML surface; locale/catch-all precedence and image/main variants require parity checks.,"Create cached/chunked sitemap services, stable lastmod and explicit locale/domain policy without changing URLs at cutover.","XML schema, URL count, locale, canonical, lastmod, image and response-time snapshot tests."
GET,set_meta,set_meta,App\Http\Controllers\AdvertisingController@set_meta,web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified,yes,critical,Anonymous GET performs bulk translation or SEO writes across catalog records.,"Replace with authenticated queued command, dry-run, audit log, backup and explicit locale scope.",GET is side-effect free/404; command supports dry-run and idempotent rerun.
GET,giftcard/preview,previewGiftCard,App\Http\Controllers\GiftcardController@previewGiftCard,web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified,yes,medium,Anonymous preview exposes a test artifact with hardcoded default value/code.,Restrict to authenticated non-production preview or remove.,Anonymous production request is 404; fixture preview renders in test.
GET|POST|PUT|PATCH|DELETE|OPTIONS,giftcard/pdf/{price}/{locale},generateGiftCardPDF,App\Http\Controllers\GiftcardController@generateGiftCardPDF,web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified,yes,critical,ANY route exposes PDF writer and passes two route parameters to a method requiring three different identifiers.,"Make authenticated POST/service call with typed DTO, authorization, fixed storage policy and exact signature.",Anonymous methods rejected; signature/authorization/path-collision tests; generated PDF contract test.
GET,sitemap,sitemap,App\Http\Controllers\PageController@generate_sitemap_html,web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified,yes,high,Dynamic uncached DB-heavy XML surface; locale/catch-all precedence and image/main variants require parity checks.,"Create cached/chunked sitemap services, stable lastmod and explicit locale/domain policy without changing URLs at cutover.","XML schema, URL count, locale, canonical, lastmod, image and response-time snapshot tests."
GET,sitemap.xml,sitemap.main,App\Http\Controllers\SitemapController@sitemap,web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified,yes,high,Dynamic uncached DB-heavy XML surface; locale/catch-all precedence and image/main variants require parity checks.,"Create cached/chunked sitemap services, stable lastmod and explicit locale/domain policy without changing URLs at cutover.","XML schema, URL count, locale, canonical, lastmod, image and response-time snapshot tests."
GET,sitemap/sitemap.xml,sitemap.lang,App\Http\Controllers\SitemapController@sitemap_products,web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified,yes,high,Dynamic uncached DB-heavy XML surface; locale/catch-all precedence and image/main variants require parity checks.,"Create cached/chunked sitemap services, stable lastmod and explicit locale/domain policy without changing URLs at cutover.","XML schema, URL count, locale, canonical, lastmod, image and response-time snapshot tests."
GET,sitemap/sitemap-images.xml,sitemap.images,App\Http\Controllers\SitemapController@sitemap_products,web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified,yes,high,Dynamic uncached DB-heavy XML surface; locale/catch-all precedence and image/main variants require parity checks.,"Create cached/chunked sitemap services, stable lastmod and explicit locale/domain policy without changing URLs at cutover.","XML schema, URL count, locale, canonical, lastmod, image and response-time snapshot tests."
GET,image/{filename},,App\Http\Controllers\ImageController@show,web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified|check.webp,no,critical,Referenced ImageController class is absent and blocks route registry validation.,Restore the intended controller contract or remove the route after asset-reference inventory.,route:list succeeds; allowed filename and traversal/404 tests pass.
ROUTE_FILE_BOOT,*politics.html* / *page/terms-sale*,,routes/redirect.php header()+exit,none,yes,critical,Substring redirects execute while loading the route file and bypass Laravel response/middleware/logging.,Replace with named controller redirects and exact normalized path contracts.,"HTTP/console/route discovery boot without exit; exact path, query and near-match tests."
GET,redirect.php:multiLangRedirect map,,256 declarations / 2048 generated closure routes,web,yes,critical,Duplicate/conflicting/chained/encoded rules plus closures make SEO behavior and route cache fragile.,"Normalize to versioned redirect dataset with uniqueness validation, controller/middleware responder and production-log delta process.",Every source has one target/status; no cycles; one-hop target; encoded and locale golden set; log-derived top URLs.
