"id","area","entrypoint","owner","inputs","current_source","side_effect_or_output","migration_invariant","negative_or_edge_tests","risk"
"PC-029","Frames","POST /get/ram_search","Catalogue","same query/body","same controller","localized JSON","one canonical route name/method contract","GET/POST mismatch; CSRF","R-80"
"PC-030","Maintenance","GET /set_sizes","Security/Catalogue","public request","hb_set_sizes","DB sizes+pivot writes","must not remain public","anonymous call; repeat; failure","R-78"
"PC-031","Maintenance","GET /set_genre","Security/Catalogue","public request","hb_set_genre","DB pivot writes/dd","must become authorized CLI/admin","unknown genre; repeat","R-78"
"PC-032","Maintenance","GET /set_style","Security/Catalogue","public request","hb_set_style","DB pivot writes/dd","must become authorized CLI/admin","unknown style; repeat","R-78"
"PC-033","Maintenance","set_sizes signature","Platform","no route arg","route vs required $type","runtime argument error","contract fixed before migration","route dispatch","R-78"
"PC-034","Canvas","GET /new/canvas","Product","locale/IP/session","canvas_* + gallery options + reviews","canvas page","price/options/SEO/assets parity","missing singleton; no geolocation","R-82"
"PC-035","Canvas ads","GET /kanvas/apdruka","Marketing","locale/IP","PortraitPageController::ads_canvas","variant page","same campaign URL/content","wrong host/locale","R-90"
"PC-036","Collage","GET /collage","Product","locale/IP/session","a_collage_* + services/options","collage generator","full start-to-cart parity","missing head/slider; locale","R-82"
"PC-037","Collage JS","GET /collage-js","Product","locale/IP","a_collage_head prices + Blade JS","rendered JavaScript/HTML","same values/context encoding","quote/script payload; missing price","R-88"
"PC-038","Collage legacy","GET /collage-constructor","Legacy product","locale","StaticPagesController","legacy constructor","access-log based redirect/retention","old bookmarks/session","R-90"
"PC-039","Modular","GET /modular-generator","Product","locale/session","GalleryItem type 2 + modular tables","modular generator","options/prices/assets parity","empty item list; external CDN fail","R-87"
"PC-040","Family","GET /family-constructor","Product","locale/session","family_constructor + manual assets","family generator","script order/state parity","missing 3D asset; browser support","R-86"
"PC-041","Portrait","GET /graphic-portrait","Product","locale","StaticPagesController + Graph models","portrait landing","URL/SEO/content parity","missing singleton","R-81"
"PC-042","Portrait","GET /graphic-portrait/{slug}","Product","translated/base slug","GalleryItem/Graph models","portrait detail","all slugs/fallback preserved","translated slug collision","R-81"
"PC-043","Portrait buy","GET /graphic-portrait/{slug}/buy","Legacy product","slug","immediate redirect to photo_portrait","redirect","preserve current redirect until approved","query/locale/status","R-90"
"PC-044","Stylization","GET /stylization-paintings[/{slug}]","Product","slug/locale","GalleryItem type 6","landing/detail","same content/prices","missing translated slug","R-81"
"PC-045","Oil portrait","GET /oil-portrait","Product","locale","Oil models","landing","same SEO/prices","missing header","R-82"
"PC-046","Oil buy","GET /oil-portrait/buy","Product","locale","OilHeader + gallery options","buy page","same option map","missing fields/price","R-82"
"PC-047","New portrait","GET /new/graphic-portrait/{slug}","Product","slug/locale","PortraitPageController::hbindex","new detail","specific oil/royal precedence","reserved slug collision","R-90"
"PC-048","Royal portrait","GET /new/graphic-portrait/portrait-historical","Product","locale","PagePortraitRoyalController","royal page","route precedence preserved","generic slug capture","R-90"
"PC-049","Oil portrait new","GET /new/graphic-portrait/portrait-oil","Product","locale","PagePortraitOilController","oil page","route precedence preserved","generic slug capture","R-90"
"PC-050","Caricature","GET /new/caricature[/{pageslug}]","Product","page slug/locale","SharjController + GalleryItem type 8","generator page","templates/person prices/locales","unknown slug; missing template","R-82"
"PC-051","Simpsons","GET /simpsons","Product","locale","SimpsonsController + GalleryItem","generator page","person prices/options","missing source item","R-82"
"PC-052","Dead basket code","SimpsonsController::addToBasket","Security/Product","client price/base64/files","unregistered method","potential files/basket state","must stay unreachable or be validated","route registration; huge base64; spoof price","R-83"
"PC-053","Dead basket code","SharjController::addToBasket","Security/Product","client price/base64/files","unregistered method","potential files/basket state","must stay unreachable or be validated","route registration; MIME/size; spoof price","R-83"
"PC-054","Sizes/prices","GET /sizesprices","Product","locale","newhome_services + gallery type5 + canvas/collage","combined price page","same source/version/locale","missing page row; source drift","R-82"
"PC-055","Basket bridge","POST /basket/add","Commerce","product/options/files","BasketController","session basket","server price authority","tampered IDs/price; duplicate","R-82"
"PC-056","Basket bridge","POST /basket/add/portrait","Commerce","portrait options/files","BasketController","session basket","same generator payload mapping","oversize/MIME; missing IDs","R-83"
"PC-057","Basket bridge","POST /basket/add/module","Commerce","module options","BasketController","session basket","same option/price mapping","invalid dimensions/options","R-82"
"PC-058","Basket bridge","POST /basket/add/construct","Commerce","constructor state","BasketController","session basket/files","state/file receipt preserved","replay; partial file","R-83"
"PC-059","Recommendation","query recommendation_discount","Commerce","numeric query + basket","hb_item_render session","discount session key","no client price authority","arbitrary value; existing recommendation","R-89"
"PC-060","Recently viewed","item GET","Product","item ID/session","show_viewed","two session lists","same max/order until redesign","repeat/multi-tab/bad session","R-89"
"PC-061","Country pricing","IP country","Finance","request IP","Location + country_tels","country multiplier","default/FI mapping preserved","proxy/unknown/timeout","R-82"
"PC-062","Reviews","canvas/collage/modular/item pages","Content","locale/product ID","our_works + reviews","review blocks","same source/active/locale","null locale; inactive; XSS","R-88"
"PC-063","Translations","Voyager translations","Content","table/column/key/locale","translations 64,779 rows","localized fields","count/hash/delta preserve all","ee/et/uk; missing fallback","R-81"
"PC-064","Translations","PHP lang files","Content","locale/key","resources/lang incl extra dirs","UI strings","copy all directories/keys","missing key; HTML context","R-81"
"PC-065","SA catalog","GET /api/sa/services-catalog","CRM/Product","lang/country/updated_since","real source projection","JSON catalogue","public/SA source parity","uk fallback; inactive; delta boundary","R-82"
"PC-066","SA catalog full","GET /api/sa/catalog-full","CRM/Product","lang/country","services + sizes/media","enriched JSON","same option/media/price source","missing media/size","R-82"
"PC-067","SA sizes","GET /api/sa/services/{id}/sizes","CRM/Product","service/item/country","path mapping + price maps","size JSON","same public available sizes","unknown service/item","R-82"
"PC-068","SA price","GET /api/sa/services/{id}/price-by-size","CRM/Finance","service/size/item/country","price map + multiplier","price JSON","same cart/order calculation","invalid size/country/item","R-82"
"PC-069","Assets","mix-manifest + 12 outputs","Frontend","deployment artifact","public files","CSS/JS runtime","byte-identical copy/no rebuild","missing/hash mismatch/cache","R-86"
"PC-070","Assets","collage bundle order","Frontend","script sequence","webpack.mix.js includes PhotoEditor twice","runtime globals","preserve until browser evidence","remove/reorder duplicate","R-86"
"PC-071","SEO","sitemap/feed/canonical/schema","SEO","locale/item/slug/image","controllers + Blade","XML/meta/JSON-LD","same IDs/URLs/status","escaping; missing image; redirect chain","R-90"
"PC-072","Continuous migration","catalogue/translation delta","Platform/Content","production writes after T0","legacy DB/admin","moving source state","one writer + final reconciliation","update/delete during copy; rollback edits","R-91"
