capability,legacy_write_paths,current_owner,shadow_mode,target_owner_gate,delta_and_reconciliation,cutover_unit,rollback_rule,status
translation.php_files_custom,"AdminLocaleController direct include/fopen/mkdir rewrites",Legacy custom admin,"No target writes; document and restrict path surface","Retire or replace with typed/versioned dictionary editor before cutover","Full file manifest and syntax check; no mtime-only delta",all dictionary files,"Disable target; never overwrite live files from stale copy",draft
locale.public_routing,"localization config; locale middleware/routes; session/cookie",Legacy public application,"Laravel 13 route/URL shadow for lv/lt/pl/ru/de/en/ee","Target only after ee/et and inactive-locale decision","Locale-to-regional mapping + route/canonical/hreflang matrix + 404 checks",public locale routing,"Route target off; legacy routes remain authoritative",draft
locale.nonpublic_files,"resources/lang/cn; resources/lang/jp; resources/lang/et; API uk fallback",Legacy files/config,"Preserve byte-identical; no automatic enable/delete","Explicit owner decision required for activation/retirement","Directory/file SHA-256 manifest; fallback test uk->ru; ee and et kept distinct",locale retention decision,"Restore artifact pointer; never delete directories during migration",draft
seo.slug_meta,"content slugs; SEO fields; translations; SEO admin tools",Legacy admin/application,"Compare target generated URL/meta without indexing","Switch with owning content module after collision/canonical audit","Per-locale URL inventory + slug uniqueness + canonical/meta hash + 404 diff",same content module,"Return content owner; preserve target slug/meta edits for reconciliation",draft
seo.redirects,"routes/web redirect dataset and static mapping",Legacy code release,"Target redirect test suite only","Target release after complete map and precedence tests","Source/target/status/locale map diff; chain/loop/conflict checks",redirect artifact,"Repoint release to prior redirect artifact; do not change content rows",draft
seo.sitemap_feeds,"sitemap/feed generators and catalogue/content projections",Legacy application,"Generate comparison artifact without public publish","Target after catalogue/content/URL owner and cache rules are stable","Normalized URL set/hash; locale/lastmod/status checks; crawler smoke",sitemap/feed publishing,"Disable target publish and serve legacy artifact/generator",draft
media.catalog_content,"media table; public/storage; uploads and content file references",Legacy admin/application,"Read-only manifest and target URL resolution","Target upload/delete only after storage/path/ACL/virus/size gates","DB reference PK/hash + relative path/size/SHA-256 + orphan/missing-file report",media capability,"Target writes off; preserve new files; reconcile references before legacy return",draft
seo_alt_suggestion_apply,"image_alt_suggestions; seo_meta_suggestions; queue/apply actions",Legacy jobs/admin,"Read-only suggestions; no retry/apply during migration","Target only after failed-job root cause and idempotent apply contract","Suggestion status counts + target row before/after hash + job receipt",suggestion application,"Stop jobs/writer; classify committed applies; no blind retry",draft
frontend.assets,"public Mix manifest and handcrafted CSS/JS/images",Frozen production artifact,"Serve byte-identical copy and visual comparison","No target build in baseline migration","File manifest + Mix manifest URL checks; no Vite and no regeneration",frontend artifact,"Repoint to last known artifact; do not rebuild on rollback",draft
voyager.metadata_settings,"data_types; data_rows; settings; permissions and role mappings",Legacy Voyager,"Inventory/read-only compatibility layer","Target after each setting/metadata consumer is mapped","Full PK/hash/anti-join because some tables lack timestamps; ACL parity",metadata/settings group,"Disable target metadata writes; preserve rows; reconcile consumers",draft
