"id","area","entrypoint","actor_owner","input_or_trigger","state_before","side_effects","current_control","gap","target_contract","tests","risk"
"MQ-063","Queued notification","ThanksForBuyNotification","Commerce","notify","PDF path/has flag","queued mail","ShouldQueue","default sync; path lifetime; no tries/timeout","outbox+artifact receipt+queue policy","real queue delayed file","R-76"
"MQ-064","Queued notification","AdminMailNotification","Marketing","sendAdminMail","HTML strings/user locale","queued mail","ShouldQueue","default sync; arbitrary HTML; weak unsubscribe","typed template/consent/signed link","XSS/locale/retry","R-72"
"MQ-065","Alt job dispatch","GenerateImageAltJob","SEO/Content","observer/controller/command","suggestion ID","external generation + DB","tries/backoff configured","sync default blocks caller","dedicated async queue/timeout/rate","web request/worker parity","R-77"
"MQ-066","Alt job failure","catch Throwable","SEO/Operations","transient provider error","attempt running","marks failed and returns","catch all","queue sees success; no retry/failed_jobs","rethrow retryable; classify terminal","429/timeout/5xx/invalid data","R-77"
"MQ-067","Alt daily limit","release(3600)","SEO/Operations","DailyLimitReached","real queue or sync","release or failed state","job check","sync and async semantics diverge","explicit deferred state/next-at","sync/database/max attempts","R-77"
"MQ-068","Alt observer","AutoAltObserver dispatch","SEO/Developers","model lifecycle","new suggestion","job dispatch/external call","feature flag","sync queue can call provider during model save","after-commit async dispatch","transaction rollback/flag on","R-77"
"MQ-069","Worker deploy","serialized jobs","Release owner","old jobs after release","old class payload","new worker deserializes","SerializesModels","cross-version shape not tested","backward-compatible job envelope/version","old→new/new→old worker","R-69"
"MQ-070","Queue separation","all messages/jobs","Operations","mixed workload","single default + alt name","shared caller/worker","queue name only","marketing/media can starve transactional","purpose queues/rates/priorities","backlog/starvation","R-69"
"MQ-071","GenSmallImages query","all missing small_image","Media","daily","unbounded rows","loads collection","where filters","memory/runtime growth","chunk/checkpoint/max batch","large corpus","R-77"
"MQ-072","GenSmallImages artifact","Image::save then model save","Media","per image","source path","writes/overwrites small file","try NotReadable","file/DB partial; transient error permanent","temp+atomic publish+receipt/retry state","disk full/crash/mount outage","R-77"
"MQ-073","Mail provider outcome","all SMTP sends","Operations","transport acceptance","message intent","provider delivery unknown","MessageSent log","no bounce/complaint/reconcile","provider ID and delivery webhook ledger","accepted/bounce/complaint","R-69"
"MQ-074","Consent ledger","users.news","Legal/Marketing","campaign dispatch","YES/NO current value","allows/suppresses","inconsistent checks","no source/time/reason/history","consent/suppression audit ledger","change/re-subscribe/delete","R-72"
"MQ-075","Template registry","33 mailables/3 notifications","Content/Product","domain event","template code/DB translations","localized email","implicit mapping","transactional vs marketing owner absent","approved registry with key/version/owner","coverage completeness","R-72"
"MQ-076","Cutover","legacy→target dispatcher","Release owner","module wave","live orders/chats/translations","mail intent/send","feature ownership needed","dual send/lost event risk","shadow outbox then atomic owner switch","live delta/rollback","R-68"
"MQ-077","Rollback","unknown provider outcome","Operations","target failure","accepted/unknown attempts","possible replay","manual","blind retry duplicates mail/coupon","receipt reconciliation before replay","provider accept then crash","R-69"
"MQ-078","Production continuity","orders/chats/translations","Business/Release","entire migration","legacy live writes","new mail intents continue","legacy owner","stale staging misses messages/content","watermark/delta reconciliation; no old DB restore","writes during cutover/rollback","R-68"
